Gun,Chip,Bib,City,State,Age,Gender
5591,5582,7453,Austin,TX,27,M
5597,5582,5903,Fair Oaks Ranch,TX,53,F
5601,5583,7202,Austin,TX,30,M
5598,5583,6372,Austin,TX,40,M
5597,5584,7684,Austin,TX,24,M
5620,5586,885,Elgin,TX,52,M
5709,5587,6695,Olmos Park,TX,27,F
5617,5590,1864,Cedar Park,TX,33,M
5609,5593,6675,Austin,TX,35,M
5639,5595,3917,Cedar Park,TX,35,F
5605,5597,3523,San Antonio,TX,45,M
5639,5599,6047,Delta,NONUS,22,M
5634,5606,5422,Austin,TX,29,M
5632,5610,3977,Temple,TX,34,M
5646,5612,5008,Boulder,CO,29,F
5632,5615,205,Midland,TX,33,F
5651,5619,2470,Austin,TX,43,M
5626,5620,5077,Dallas,TX,35,F
5639,5622,2924,Austin,TX,57,M
5702,5626,5710,Austin,TX,46,M
5640,5629,6720,Erie,CO,51,F
5650,5634,6676,Austin,TX,44,M
5652,5636,1448,Austin,TX,29,F
6380,5638,1279,Austin,TX,34,M
5655,5639,969,New Braunfels,TX,59,M
5665,5641,3733,Austin,TX,38,F
5672,5641,4508,Austin,TX,36,F
5651,5644,5115,Austin,TX,47,F
5655,5645,5009,Shenandoah,TX,49,F
5699,5647,6817,Chicago,IL,28,M
5649,5648,5802,Kansas City,MO,59,M
5674,5648,5196,Bee Cave,TX,51,M
5680,5650,3869,Anaheim,CA,37,M
5662,5650,6181,Austin,TX,29,M
5700,5657,7218,Leander,TX,32,M
5692,5657,3822,Austin,TX,38,M
5711,5657,7574,Austin,TX,17,F
5712,5657,170,Austin,TX,30,M
5678,5658,6798,Austin,TX,29,M
5672,5658,6589,Flower Mound,TX,32,M
5691,5659,6765,Austin,TX,49,M
5674,5659,3560,Austin,TX,48,F
5673,5660,5378,Atherton,CA,52,M
5689,5663,196,Midland,TX,38,M
5680,5667,7654,Wayne,PA,36,M
5678,5667,6874,Austin,TX,37,F
5746,5667,3000,Austin,TX,40,M
5689,5668,3034,Austin,TX,28,F
5684,5669,2640,Round Rock,TX,37,M
5724,5669,5796,Austin,TX,26,M
5702,5670,7233,Austin,TX,25,M
5695,5672,7488,Austin,TX,26,F
5694,5675,5477,Austin,TX,30,F
5695,5677,2332,Austin,TX,40,M
